brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,touchscreen,msoffice,price,rating,no_ratings,no_reviews
Lenovo,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,4498200,2,70,16
Acer,Intel,Core i5,10,8,DDR5,0,512,Windows,32-bit,4,Casual,0,False,False,9178200,4,10966,1185
Acer,Intel,Core i5,10,8,LPDDR4,0,512,Windows,32-bit,0,Casual,1,False,False,21598200,4,1,1
Acer,Intel,Core i5,10,8,LPDDR4,0,512,DOS,32-bit,0,Casual,0,False,False,16954200,4,31,6
ASUS,Intel,Core i5,10,8,LPDDR4,0,512,DOS,32-bit,4,Casual,0,False,False,19110060,4,1881,241
DELL,Intel,Core i5,10,8,LPDDR4,0,512,DOS,32-bit,4,Casual,1,False,False,12256200,1,23,4
DELL,Intel,Core i5,10,8,LPDDR4,0,512,DOS,32-bit,0,ThinNlight,1,False,False,25198200,3,0,0
HP,Intel,Core i5,10,8,LPDDR4,0,512,DOS,32-bit,0,ThinNlight,0,False,False,10078200,4,818,109
HP,Intel,Core i5,10,8,LPDDR4,0,512,DOS,32-bit,4,Casual,0,False,False,18459180,3,0,0
Lenovo,Intel,Core i5,10,8,LPDDR4,0,512,DOS,32-bit,2,Casual,0,False,False,8458200,4,4428,569
HP,Intel,Core i5,8,8,DDR4,128,0,Windows,64-bit,0,ThinNlight,1,False,False,13682160,4,129,16
Lenovo,Intel,Core i5,11,8,DDR4,256,0,Windows,64-bit,0,Casual,2,False,True,8908200,4,365,35
Acer,Intel,Core i5,7,8,DDR3,256,0,Windows,64-bit,0,ThinNlight,1,False,True,15636060,4,39,3
ASUS,Intel,Core i5,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,False,8818200,3,0,0
DELL,Intel,Core i5,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,10078200,3,3,0
Acer,Intel,Core i5,8,8,DDR3,256,0,Windows,64-bit,0,ThinNlight,1,True,True,14759640,4,14,3
HP,Intel,Core i5,8,8,DDR4,256,0,Windows,64-bit,0,Casual,1,True,True,24586200,3,0,0
Acer,Intel,Core i5,8,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,False,10708200,3,33,7
ASUS,Intel,Core i5,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,False,8964000,3,0,0
Lenovo,Intel,Core i5,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,False,True,11159820,2,4,0
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,0,False,False,9898200,4,116,15
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,False,9718200,4,206,17
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,64-bit,0,Casual,2,False,True,9538200,4,300,24
HP,Intel,Core i5,11,16,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,12238200,4,108,6
ASUS,Intel,Core i5,10,8,DDR4,512,0,Windows,64-bit,4,Gaming,1,False,False,10438200,4,3712,412
